URL,Detail,Linked From,Problem Detected On
http://simonmcmanus.com/2007/10/05/links-for-2007-10-05/,404 (Not found),3 pages,11/6/08
http://simonmcmanus.com/2007/10/05/links-for-2007-10-05/trackback/,404 (Not found),1 pages,11/6/08
http://simonmcmanus.com/2007/10/10/links-for-2007-10-10/,404 (Not found),3 pages,11/10/08
http://simonmcmanus.com/2007/10/11/links-for-2007-10-11/,404 (Not found),4 pages,11/12/08
http://simonmcmanus.com/2007/10/11/links-for-2007-10-11/trackback/,404 (Not found),1 pages,11/12/08
http://simonmcmanus.com/2007/10/18/links-for-2007-10-18/,404 (Not found),4 pages,11/9/08
http://simonmcmanus.com/2007/10/18/links-for-2007-10-18/trackback/,404 (Not found),1 pages,11/9/08
http://simonmcmanus.com/2007/10/20/links-for-2007-10-20/,404 (Not found),3 pages,11/13/08
http://simonmcmanus.com/2007/10/23/facebook-screen-scraping-get-your-friends-back-from-facebook-and-into-tiddlywiki/feed/,404 (Not found),2 pages,11/5/08
http://simonmcmanus.com/2007/10/31/links-for-2007-10-31/feed/,404 (Not found),1 pages,11/8/08
http://simonmcmanus.com/2007/11/01/links-for-2007-11-01/feed/,404 (Not found),1 pages,11/10/08
http://simonmcmanus.com/2007/11/01/video-on-open-social/feed/,404 (Not found),2 pages,11/12/08
http://simonmcmanus.com/2007/11/09/latest-database-design-for-cctiddly/,404 (Not found),5 pages,11/8/08
http://simonmcmanus.com/2007/11/09/latest-database-design-for-cctiddly/feed/,404 (Not found),2 pages,11/9/08
http://simonmcmanus.com/2007/11/12/links-for-2007-11-12/feed/,404 (Not found),2 pages,11/14/08
http://simonmcmanus.com/2007/11/15/links-for-2007-11-15/,404 (Not found),4 pages,11/8/08
http://simonmcmanus.com/2007/11/15/links-for-2007-11-15/trackback/,404 (Not found),2 pages,11/8/08
http://simonmcmanus.com/2007/11/20/links-for-2007-11-20/,404 (Not found),4 pages,11/8/08
http://simonmcmanus.com/2007/11/21/links-for-2007-11-21/,404 (Not found),4 pages,11/7/08
http://simonmcmanus.com/2007/11/21/links-for-2007-11-21/trackback/,404 (Not found),2 pages,11/8/08
http://simonmcmanus.com/2007/11/23/links-for-2007-11-23/feed/,404 (Not found),2 pages,11/6/08
http://simonmcmanus.com/2007/11/25/links-for-2007-11-25/feed/,404 (Not found),2 pages,11/14/08
http://simonmcmanus.com/2007/11/28/links-for-2007-11-28/,404 (Not found),2 pages,11/8/08
http://simonmcmanus.com/2007/11/28/the-robbie-clutton-problem/,404 (Not found),16 pages,11/14/08
http://simonmcmanus.com/2007/12/03/epoch-to-tiddlytime/,404 (Not found),6 pages,11/12/08
http://simonmcmanus.com/2007/12/03/epoch-to-tiddlytime/trackback/,404 (Not found),1 pages,11/12/08
http://simonmcmanus.com/2007/12/06/delicious-feed-removal/,404 (Not found),5 pages,11/10/08
http://simonmcmanus.com/2007/12/06/links-for-2007-12-06/,404 (Not found),4 pages,11/9/08
http://simonmcmanus.com/2007/12/06/links-for-2007-12-06/trackback/,404 (Not found),1 pages,11/9/08
http://simonmcmanus.com/2007/12/10/cctiddly-system-tiddler-plugins/,404 (Not found),6 pages,11/8/08
http://simonmcmanus.com/2007/12/10/pondering-pagerank-and-tinyurls/,404 (Not found),6 pages,11/4/08
http://simonmcmanus.com/2007/12/12/bullshit-20/,404 (Not found),11 pages,11/6/08
http://simonmcmanus.com/2007/12/24/the-ultimate-n95-hack-helicopters/,404 (Not found),6 pages,11/11/08
http://simonmcmanus.com/2008/01/04/life-streaming-in-cctiddly,404 (Not found),unavailable,11/13/08
http://simonmcmanus.com/2008/01/04/life-streaming-in-cctiddly/,404 (Not found),6 pages,11/5/08
http://simonmcmanus.com/2008/01/04/life-streaming-in-cctiddly/feed/,404 (Not found),1 pages,11/11/08
http://simonmcmanus.com/2008/01/04/life-streaming-in-cctiddly/trackback/,404 (Not found),1 pages,11/5/08
http://simonmcmanus.com/2008/01/07/product-streaming-for-cctiddly/,404 (Not found),5 pages,11/9/08
http://simonmcmanus.com/2008/01/07/product-streaming-for-cctiddly/feed/,404 (Not found),1 pages,11/11/08
http://simonmcmanus.com/2008/01/07/product-streaming-for-cctiddly/trackback/,404 (Not found),1 pages,11/10/08
http://simonmcmanus.com/2008/01/15/server-side-search-for-cctiddly/,404 (Not found),7 pages,11/6/08
http://simonmcmanus.com/2008/01/15/time-for-a-blog-post-about-twitter/,404 (Not found),5 pages,11/10/08
http://simonmcmanus.com/2008/01/21/google-images-in-tiddlywikiand-maybe-flickr/,404 (Not found),5 pages,11/10/08
http://simonmcmanus.com/2008/01/21/google-images-in-tiddlywikiand-maybe-flickr/&o=0&l=dir,404 (Not found),1 pages,11/9/08
http://simonmcmanus.com/2008/01/21/google-images-in-tiddlywikiand-maybe-flickr/&o=0&l=dir/,404 (Not found),1 pages,11/14/08
http://simonmcmanus.com/2008/01/23/nokia-n95-stuff/,404 (Not found),5 pages,11/9/08
http://simonmcmanus.com/2008/01/23/nokia-n95-stuff/trackback/,404 (Not found),1 pages,11/14/08
